timestamp,hive_code,hive_number,temperature_c,humidity_pct,hive_weight_kg,bee_activity_score,scenario,health_label,data_source
2026-07-01T00:00:00,HV-2026-001,1,32.84,70.13,25.251,79.29,normal,healthy,synthetic_prototype_dataset
2026-07-01T01:00:00,HV-2026-001,1,31.87,69.42,25.281,74.89,normal,healthy,synthetic_prototype_dataset
2026-07-01T02:00:00,HV-2026-001,1,32.87,69.53,25.337,78.72,normal,healthy,synthetic_prototype_dataset
2026-07-01T03:00:00,HV-2026-001,1,33.11,71.98,25.378,72.99,normal,healthy,synthetic_prototype_dataset
2026-07-01T04:00:00,HV-2026-001,1,33.52,66.77,25.434,75.83,normal,healthy,synthetic_prototype_dataset
2026-07-01T05:00:00,HV-2026-001,1,33.58,65.59,25.501,75.46,normal,healthy,synthetic_prototype_dataset
2026-07-01T06:00:00,HV-2026-001,1,33.81,64.37,25.545,77.28,normal,healthy,synthetic_prototype_dataset
2026-07-01T07:00:00,HV-2026-001,1,34.52,63.96,25.645,76.4,normal,healthy,synthetic_prototype_dataset
2026-07-01T08:00:00,HV-2026-001,1,34.42,60.04,25.696,83.57,normal,healthy,synthetic_prototype_dataset
2026-07-01T09:00:00,HV-2026-001,1,34.87,58.54,25.701,83.63,normal,healthy,synthetic_prototype_dataset
2026-07-01T10:00:00,HV-2026-001,1,35.46,59.92,25.716,83.81,normal,healthy,synthetic_prototype_dataset
2026-07-01T11:00:00,HV-2026-001,1,35.31,58.63,25.787,85.31,normal,healthy,synthetic_prototype_dataset
2026-07-01T12:00:00,HV-2026-001,1,35.61,58.12,25.839,88.11,normal,healthy,synthetic_prototype_dataset
2026-07-01T13:00:00,HV-2026-001,1,34.6,57.66,25.866,84.87,normal,healthy,synthetic_prototype_dataset
2026-07-01T14:00:00,HV-2026-001,1,35.0,61.63,25.878,91.51,normal,healthy,synthetic_prototype_dataset
2026-07-01T15:00:00,HV-2026-001,1,34.16,59.45,25.924,90.99,normal,healthy,synthetic_prototype_dataset
2026-07-01T16:00:00,HV-2026-001,1,34.97,62.93,25.95,87.9,normal,healthy,synthetic_prototype_dataset
2026-07-01T17:00:00,HV-2026-001,1,34.72,62.84,25.939,85.91,normal,healthy,synthetic_prototype_dataset
2026-07-01T18:00:00,HV-2026-001,1,33.59,65.89,25.974,92.42,normal,healthy,synthetic_prototype_dataset
2026-07-01T19:00:00,HV-2026-001,1,33.47,67.1,26.021,88.8,normal,healthy,synthetic_prototype_dataset
